strain	date		country	region	lineage	GRI.Lineage.Level.0	GRI.Lineage.Level.1	GRI.Lineage.Level.2	GRI.Lineage.Level.3	GRI.Lineage.Level.4	GRI.Lineage.Level.5	GRI.Lineage.Level.6	GRI.Lineage.Level.7	GRI.Lineage.Level.8	author	accession	old_date	decimal_date	latitude	longitude
AM258991.1	2005-08-09		Seychelles	EAf	EAL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Schuffenecker,I., Iteman,I., Michault,A., Murri,S., Frangeul,L., Vaney,M.C., Lavenir,R., Pardigon,N., Reynes,J.M., Pettinelli,F., Biscornet,L., Diancourt,L., Michel,S., Duquerroy,S., Guigon,G., Frenkiel,M.P., Brehin,A.C., Cubito,N., Despres,P., Kunst,F., Rey,F.A., Zeller,H. and Brisse,S.	NA	2005-08-09	2005.60273972603	-4.6574977	55.4540146
MK028836.1	2005-10-31		Comoros	EAf	EAL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Morrison,T., Hawman,D., Powers,A., Agnihothram,S., Zhao,X., Nagaraj,S., Vavikolanu,K., Nadendla,S., Sadzewicz,L., Tallon,L.J. and Sichtig,H.	NA	2005-10-31 (2005-01-01 - 2005-12-31)	2005.8301369863	-12.2045176	44.2832964
AM258990.1	2005-05-06		Reunion	EAf	EAL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Schuffenecker,I., Iteman,I., Michault,A., Murri,S., Frangeul,L., Vaney,M.C., Lavenir,R., Pardigon,N., Reynes,J.M., Pettinelli,F., Biscornet,L., Diancourt,L., Michel,S., Duquerroy,S., Guigon,G., Frenkiel,M.P., Brehin,A.C., Cubito,N., Despres,P., Kunst,F., Rey,F.A., Zeller,H. and Brisse,S.	NA	2005-05-06	2005.34246575342	-21.1309332	55.5265771
AM258995.1	2005-05-16		Reunion	EAf	EAL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Schuffenecker,I., Iteman,I., Michault,A., Murri,S., Frangeul,L., Vaney,M.C., Lavenir,R., Pardigon,N., Reynes,J.M., Pettinelli,F., Biscornet,L., Diancourt,L., Michel,S., Duquerroy,S., Guigon,G., Frenkiel,M.P., Brehin,A.C., Cubito,N., Despres,P., Kunst,F., Rey,F.A., Zeller,H. and Brisse,S.	NA	2005-05-16	2005.3698630137	-21.1309332	55.5265771
KP702297.1	2005-09-12		Comoros	EAf	EAL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Wasonga,C., Inoue,S., Rumberia,C., Michuki,G., Kimotho,J., Ongus,J.R., Sang,R. and Musila,L.	NA	2005-09-12 (2005-01-01 - 2005-12-31)	2005.69589041096	-12.2045176	44.2832964
KF283986.1	2005-12-04		Comoros	EAf	EAL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Wasonga,C., Inoue,S., Rumberia,C., Michuki,G., Kimotho,J., Ongus,J.R., Sang,R. and Musila,L.	NA	2005-12-04 (2005-01-01 - 2005-12-31)	2005.92328767123	-12.2045176	44.2832964
AM258992.1	2005-11-28		Reunion	EAf	EAL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Schuffenecker,I., Iteman,I., Michault,A., Murri,S., Frangeul,L., Vaney,M.C., Lavenir,R., Pardigon,N., Reynes,J.M., Pettinelli,F., Biscornet,L., Diancourt,L., Michel,S., Duquerroy,S., Guigon,G., Frenkiel,M.P., Brehin,A.C., Cubito,N., Despres,P., Kunst,F., Rey,F.A., Zeller,H. and Brisse,S.	NA	2005-11-28	2005.90684931507	-21.1309332	55.5265771
MH229986.1	2006-12-31		Mauritius	EAf	EAL	K	K	K	K	K	K	K	K	K	Vedururu,R., Neave,M., Duchemin,J.-B., Tachedjian,M., Gorry,P. and Paradkar,P.N.	NA	2006-12-31 (2006-10-07 - 2006-12-31)	2006.99726027397	-20.2759451	57.5703566
FJ959103.1	2006-05-24		Mauritius	EAf	EAL	K	K	K	K	K	K	K	K	K	Panning,M., Hess,M., Fischer,W., Grywna,K., Pfeffer,M. and Drosten,C.	NA	2006-05-24 (2006-01-01 - 2006-12-31)	2006.39178082192	-20.2759451	57.5703566
AM258994.1	2005-12-02		Reunion	EAf	EAL	K	K	K	K	K	K	K	K	K	Schuffenecker,I., Iteman,I., Michault,A., Murri,S., Frangeul,L., Vaney,M.C., Lavenir,R., Pardigon,N., Reynes,J.M., Pettinelli,F., Biscornet,L., Diancourt,L., Michel,S., Duquerroy,S., Guigon,G., Frenkiel,M.P., Brehin,A.C., Cubito,N., Despres,P., Kunst,F., Rey,F.A., Zeller,H. and Brisse,S.	NA	2005-12-02	2005.91780821918	-21.1309332	55.5265771
AM258993.1	2005-11-29		Reunion	EAf	EAL	K	K	K	K	K	K	K	K	K	Schuffenecker,I., Iteman,I., Michault,A., Murri,S., Frangeul,L., Vaney,M.C., Lavenir,R., Pardigon,N., Reynes,J.M., Pettinelli,F., Biscornet,L., Diancourt,L., Michel,S., Duquerroy,S., Guigon,G., Frenkiel,M.P., Brehin,A.C., Cubito,N., Despres,P., Kunst,F., Rey,F.A., Zeller,H. and Brisse,S.	NA	2005-11-29	2005.9095890411	-21.1309332	55.5265771
EU037962.1	2006-12-31		Mauritius	EAf	EAL	K	K.0	K.0	K.0	K.0	K.0	K.0	K.0	K.0	Kowalzik,S., Xuan,N.V., Weissbrich,B., Scheiner,B., Schied,T., Drosten,C., Muller,A., Stich,A., Rethwilm,A. and Bodem,J.	NA	2006-12-31 (2006-06-27 - 2006-12-31)	2006.99726027397	-20.2759451	57.5703566
KY575571.1	2006-02-16		USA	NAm	EAL	K	K.0	K.0.1	K.0.1	K.0.1	K.0.1	K.0.1	K.0.1	K.0.1	Shabman,R., Pickett,B.E., Das,S.R., Fedorova,N., Shrivastava,S., Puri,V., Tan,Y., Hu,L., Amedeo,P., Jones,S. and Kramer,L.	NA	2006-02-16 (2006-01-01 - 2006-12-31)	2006.12602739726	39.7837304	-100.445882
KP003808.1	2006-10-14		Madagascar	EAf	EAL	K	K.0	K.0.1	K.0.1	K.0.1	K.0.1	K.0.1	K.0.1	K.0.1	Moyen,N., Thiberville,S.D., Pastorino,B., Nougairede,A., Thirion,L., Mombouli,J.V., Dimi,Y., Leparc-Goffart,I., Capobianchi,M.R., Lepfoundzou,A.D. and de Lamballerie,X.	NA	2006-10-14 (2006-01-01 - 2006-12-31)	2006.78356164384	-18.9249604	46.4416422
KP003807.1	2006-12-31		France	EU	EAL	K	K.0	K.0.0	K.0.0	K.0.0	K.0.0	K.0.0	K.0.0	K.0.0	Moyen,N., Thiberville,S.D., Pastorino,B., Nougairede,A., Thirion,L., Mombouli,J.V., Dimi,Y., Leparc-Goffart,I., Capobianchi,M.R., Lepfoundzou,A.D. and de Lamballerie,X.	NA	2006-12-31 (2006-08-20 - 2006-12-31)	2006.99726027397	46.603354	1.8883335
KP003809.1	2006-07-27		Mayotte	EAf	EAL	K	K.0	K.0.0	K.0.0	K.0.0	K.0.0	K.0.0	K.0.0	K.0.0	Moyen,N., Thiberville,S.D., Pastorino,B., Nougairede,A., Thirion,L., Mombouli,J.V., Dimi,Y., Leparc-Goffart,I., Capobianchi,M.R., Lepfoundzou,A.D. and de Lamballerie,X.	NA	2006-07-27 (2006-01-01 - 2006-12-31)	2006.56712328767	-12.823048	45.1520755
EF012359.1	2006-03-31		Mauritius	EAf	EAL	K	K.2	K.2	K.2	K.2	K.2	K.2	K.2	K.2	Edwards,C.J., Welch,S.R., Chamberlain,J., Hewson,R., Tolley,H., Cane,P.A. and Lloyd,G.	NA	2006-03-31 (2006-03-05 - 2006-03-31)	2006.24383561644	-20.2759451	57.5703566
EU564334.1	2006-02-14		Mauritius	EAf	EAL	K	K.2	K.2	K.2	K.2	K.2	K.2	K.2	K.2	Pfeffer,M., Zoeller,G., Essbauer,S., Tomaso,H., Berens-Riha,N., Loescher,T. and Dobler,G.	NA	2006-02-14	2006.12054794521	-20.2759451	57.5703566
FR717337.1	2005-12-26		France	EU	EAL	K	K.1	K.1	K.1	K.1	K.1	K.1	K.1	K.1	Couderc,T., Gangneux,N., Chretien,F., Caro,V., Le Luong,T., Ducloux,B., Tolou,H., Lecuit,M. and Grandadam,M.	NA	2005-12-26	2005.98356164384	46.603354	1.8883335
FR717336.1	2005-12-26		France	EU	EAL	K	K.1	K.1.0	K.1.0	K.1.0	K.1.0	K.1.0	K.1.0	K.1.0	Couderc,T., Gangneux,N., Chretien,F., Caro,V., Le Luong,T., Ducloux,B., Tolou,H., Lecuit,M. and Grandadam,M.	NA	2005-12-26	2005.98356164384	46.603354	1.8883335
DQ443544.2	2006-01-01		Reunion	EAf	EAL	K	K.1	K.1.0	K.1.0	K.1.0	K.1.0	K.1.0	K.1.0	K.1.0	Parola,P., de Lamballerie,X., Jourdan,J., Rovery,C., Vaillant,V., Minodier,P., Brouqui,P., Flahault,A., Raoult,D. and Charrel,R.N.	NA	2006-01-01 (2006-01-01 - 2006-05-16)	2006	-21.1309332	55.5265771
EF027135.1	2006-05-04		India	SAs	IOL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Arankalle,V.A., Shrivastava,S., Cherian,S., Gunjikar,R.S., Walimbe,A.M., Jadhav,S.M., Sudeep,A.B. and Mishra,A.C.	NA	2006-05-04 (2006-01-01 - 2006-12-31)	2006.33698630137	22.3511148	78.6677428
EF027136.1	2006-01-01		India	SAs	IOL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Arankalle,V.A., Shrivastava,S., Cherian,S., Gunjikar,R.S., Walimbe,A.M., Jadhav,S.M., Sudeep,A.B. and Mishra,A.C.	NA	2006-01-01 (2006-01-01 - 2006-07-08)	2006	22.3511148	78.6677428
FJ000062.1	2006-09-30		India	SAs	IOL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Cherian,S.S., Walimbe,A.M., Jadhav,S.M., Gandhe,S.S., Hundekar,S.L., Mishra,A.C. and Arankalle,V.A.	NA	2006-09-30 (2006-09-04 - 2006-09-30)	2006.74520547945	22.3511148	78.6677428
GQ428210.1	2006-10-07		India	SAs	IOL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Sreekumar,E., Issac,A., Nair,S., Hariharan,R., Janki,M.B., Arathy,D.S., Regu,R., Mathew,T., Anoop,M., Niyas,K.P. and Pillai,M.R.	NA	2006-10-07	2006.76438356164	22.3511148	78.6677428
KY575568.1	2006-07-12		USA	NAm	IOL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Shabman,R., Pickett,B.E., Das,S.R., Fedorova,N., Shrivastava,S., Puri,V., Tan,Y., Hu,L., Amedeo,P., Jones,S. and Kramer,L.	NA	2006-07-12 (2006-01-01 - 2006-12-31)	2006.52602739726	39.7837304	-100.445882
HM045794.1	2006-09-29		USA	NAm	IOL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.	NA	2006-09-29 (2006-01-01 - 2006-12-31)	2006.74246575342	39.7837304	-100.445882
KJ941050.1	2006-05-04		USA	NAm	IOL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Anez,G., Heisey,D.A. and Rios,M.	NA	2006-05-04 (2006-01-01 - 2006-12-31)	2006.33698630137	39.7837304	-100.445882
FJ000067.1	2006-08-31		India	SAs	IOL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Cherian,S.S., Walimbe,A.M., Jadhav,S.M., Gandhe,S.S., Hundekar,S.L., Mishra,A.C. and Arankalle,V.A.	NA	2006-08-31 (2006-08-04 - 2006-08-31)	2006.66301369863	22.3511148	78.6677428
EF027134.1	2006-06-18		India	SAs	IOL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Arankalle,V.A., Shrivastava,S., Cherian,S., Gunjikar,R.S., Walimbe,A.M., Jadhav,S.M., Sudeep,A.B. and Mishra,A.C.	NA	2006-06-18 (2006-01-01 - 2006-12-31)	2006.4602739726	22.3511148	78.6677428
JF274082.1	2006-09-27		India	SAs	IOL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Sreejith,R., Rana,J., Dudha,N., Kumar,K., Gabrani,R., Sharma,S.K., Gupta,A., Vrati,S., Chaudhary,V.K. and Gupta,S.	NA	2006-09-27	2006.73698630137	22.3511148	78.6677428
FJ000068.1	2006-08-31		India	SAs	IOL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Cherian,S.S., Walimbe,A.M., Jadhav,S.M., Gandhe,S.S., Hundekar,S.L., Mishra,A.C. and Arankalle,V.A.	NA	2006-08-31 (2006-08-05 - 2006-08-31)	2006.66301369863	22.3511148	78.6677428
MK370030.1	2015-01-01		India	SAs	IOL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	More,A., Patil,J. and Newase,P.K.	NA	2015-01-01 (2015-01-01 - 2015-08-19)	2015	22.3511148	78.6677428
FJ000065.1	2006-09-01		India	SAs	IOL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Cherian,S.S., Walimbe,A.M., Jadhav,S.M., Gandhe,S.S., Hundekar,S.L., Mishra,A.C. and Arankalle,V.A.	NA	2006-09-01 (2006-09-01 - 2006-09-27)	2006.66575342466	22.3511148	78.6677428
EU564335.1	2006-10-31		India	SAs	IOL	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Pfeffer,M., Zoeller,G., Essbauer,S., Tomaso,H., Berens-Riha,N., Loescher,T. and Dobler,G.	NA	2006-10-31	2006.8301369863	22.3511148	78.6677428
FJ513675.1	2008-04-01		Sri_Lanka	SEAs	IOL	G	G	G	G	G	G	G	G	G	Hapuarachchi,H.C., Bandara,K.B., Sumanadasa,S.D., Hapugoda,M.D., Lai,Y.L., Lee,K.S., Tan,L.K., Lin,R.T., Ng,L.F., Bucht,G., Abeyewickreme,W. and Ng,L.C.	NA	2008-04-01 (2008-04-01 - 2008-04-27)	2008.24863387978	7.5554942	80.7137847
GU199351.1	2008-12-23		China	EAs	IOL	G	G	G	G	G	G	G	G	G	Zheng,K., Li,J., Zhang,Q., Liang,M., Li,C., Lin,M., Huang,J., Li,H., Xiang,D., Wang,N., Hong,Y., Huang,L., Li,X., Pan,D., Song,W., Dai,J., Guo,B. and Li,D.	NA	2008-12-23 (2008-01-01 - 2008-12-31)	2008.97540983607	35.000074	104.999927
KY575570.1	2008-05-23		USA	NAm	IOL	G	G	G	G	G	G	G	G	G	Shabman,R., Pickett,B.E., Das,S.R., Fedorova,N., Shrivastava,S., Puri,V., Tan,Y., Hu,L., Amedeo,P., Jones,S. and Kramer,L.	NA	2008-05-23 (2008-01-01 - 2008-12-31)	2008.39071038251	39.7837304	-100.445882
FJ513632.1	2008-03-16		Sri_Lanka	SEAs	IOL	G	G.1	G.1.1	G.1.1	G.1.1	G.1.1	G.1.1	G.1.1	G.1.1	Hapuarachchi,H.C., Bandara,K.B., Sumanadasa,S.D., Hapugoda,M.D., Lai,Y.L., Lee,K.S., Tan,L.K., Lin,R.T., Ng,L.F., Bucht,G., Abeyewickreme,W. and Ng,L.C.	NA	2008-03-16 (2008-03-01 - 2008-03-31)	2008.20491803279	7.5554942	80.7137847
FJ445426.2	2008-04-30		Sri_Lanka	SEAs	IOL	G	G.1	G.1.1	G.1.1	G.1.1	G.1.1	G.1.1	G.1.1	G.1.1	Ng,L.C., Tan,L.K., Tan,C.H., Tan,S.S., Hapuarachchi,H.C., Pok,K.Y., Lai,Y.L., Lam-Phua,S.G., Bucht,G., Lin,R.T., Leo,Y.S., Tan,B.H., Han,H.K., Ooi,P.L., James,L. and Khoo,S.P.	NA	2008-04-30 (2008-04-04 - 2008-04-30)	2008.32786885246	7.5554942	80.7137847
FJ513673.1	2008-04-30		Sri_Lanka	SEAs	IOL	G	G.1	G.1	G.1	G.1	G.1	G.1	G.1	G.1	Hapuarachchi,H.C., Bandara,K.B., Sumanadasa,S.D., Hapugoda,M.D., Lai,Y.L., Lee,K.S., Tan,L.K., Lin,R.T., Ng,L.F., Bucht,G., Abeyewickreme,W. and Ng,L.C.	NA	2008-04-30 (2008-04-05 - 2008-04-30)	2008.32786885246	7.5554942	80.7137847
FJ513654.1	2008-04-18		Sri_Lanka	SEAs	IOL	G	G.1	G.1.0	G.1.0	G.1.0	G.1.0	G.1.0	G.1.0	G.1.0	Hapuarachchi,H.C., Bandara,K.B., Sumanadasa,S.D., Hapugoda,M.D., Lai,Y.L., Lee,K.S., Tan,L.K., Lin,R.T., Ng,L.F., Bucht,G., Abeyewickreme,W. and Ng,L.C.	NA	2008-04-18 (2008-04-01 - 2008-04-30)	2008.29508196721	7.5554942	80.7137847
FJ513645.1	2008-04-27		Sri_Lanka	SEAs	IOL	G	G.1	G.1.0	G.1.0	G.1.0	G.1.0	G.1.0	G.1.0	G.1.0	Hapuarachchi,H.C., Bandara,K.B., Sumanadasa,S.D., Hapugoda,M.D., Lai,Y.L., Lee,K.S., Tan,L.K., Lin,R.T., Ng,L.F., Bucht,G., Abeyewickreme,W. and Ng,L.C.	NA	2008-04-27 (2008-04-01 - 2008-04-30)	2008.31967213115	7.5554942	80.7137847
GQ428215.1	2008-05-29		India	SAs	IOL	G	G	G	G	G	G	G	G	G	Sreekumar,E., Issac,A., Nair,S., Hariharan,R., Janki,M.B., Arathy,D.S., Regu,R., Mathew,T., Anoop,M., Niyas,K.P. and Pillai,M.R.	NA	2008-05-29	2008.40710382514	22.3511148	78.6677428
FJ807898.1	2008-04-24		Bangladesh	SAs	IOL	G	G	G	G	G	G	G	G	G	Huang,J.H., Yang,C.F., Su,C.L., Chang,S.F., Cheng,C.H., Yu,S.K., Lin,C.C. and Shu,P.Y.	NA	2008-04-24 (2008-01-01 - 2008-12-31)	2008.31147540984	24.4769288	90.2934413
EU372006.1	2007-06-11		India	SAs	IOL	G	G	G	G	G	G	G	G	G	Santhosh,S.R., Dash,P.K., Parida,M.M., Khan,M., Tiwari,M. and Lakshmana Rao,P.V.	NA	2007-06-11	2007.44109589041	22.3511148	78.6677428
KT336777.1	2009-04-08		India	SAs	IOL	G	G	G	G	G	G	G	G	G	Abraham,R., Manakkadan,A., Mudaliar,P., Joseph,I., Sivakumar,K.C., Nair,R.R. and Sreekumar,E.	NA	2009-04-08	2009.26575342466	22.3511148	78.6677428
MH647192.1	2013-05-31		Singapore	SEAs	IOL	G	G	G	G	G	G	G	G	G	Hapuarachchi,H.C., Wong,W.Y., Koo,C., Tien,W.P., Lu,T.Y., Yeo,G., Rajarethinam,J., Tan,E., Chong,C.S., Tan,C.H., Yap,G., Tan,L.K. and Ng,L.C.	NA	2013-05-31 (2013-05-04 - 2013-05-31)	2013.41095890411	1.357107	103.8194992
MH647191.1	2013-05-28		Singapore	SEAs	IOL	G	G.0	G.0	G.0	G.0	G.0	G.0	G.0	G.0	Hapuarachchi,H.C., Wong,W.Y., Koo,C., Tien,W.P., Lu,T.Y., Yeo,G., Rajarethinam,J., Tan,E., Chong,C.S., Tan,C.H., Yap,G., Tan,L.K. and Ng,L.C.	NA	2013-05-28 (2013-05-01 - 2013-05-31)	2013.40273972603	1.357107	103.8194992
MH647218.1	2013-03-01		Singapore	SEAs	IOL	G	G.0	G.0	G.0	G.0	G.0	G.0	G.0	G.0	Hapuarachchi,H.C., Wong,W.Y., Koo,C., Tien,W.P., Lu,T.Y., Yeo,G., Rajarethinam,J., Tan,E., Chong,C.S., Tan,C.H., Yap,G., Tan,L.K. and Ng,L.C.	NA	2013-03-01 (2013-03-01 - 2013-03-28)	2013.16164383562	1.357107	103.8194992
MH647190.1	2013-05-29		Singapore	SEAs	IOL	G	G.0	G.0	G.0	G.0	G.0	G.0	G.0	G.0	Hapuarachchi,H.C., Wong,W.Y., Koo,C., Tien,W.P., Lu,T.Y., Yeo,G., Rajarethinam,J., Tan,E., Chong,C.S., Tan,C.H., Yap,G., Tan,L.K. and Ng,L.C.	NA	2013-05-29 (2013-05-01 - 2013-05-31)	2013.40547945205	1.357107	103.8194992
MH647188.1	2013-04-30		Singapore	SEAs	IOL	G	G.0	G.0	G.0	G.0	G.0	G.0	G.0	G.0	Hapuarachchi,H.C., Wong,W.Y., Koo,C., Tien,W.P., Lu,T.Y., Yeo,G., Rajarethinam,J., Tan,E., Chong,C.S., Tan,C.H., Yap,G., Tan,L.K. and Ng,L.C.	NA	2013-04-30 (2013-04-04 - 2013-04-30)	2013.32602739726	1.357107	103.8194992
MH647217.1	2013-02-01		Singapore	SEAs	IOL	G	G.0	G.0	G.0	G.0	G.0	G.0	G.0	G.0	Hapuarachchi,H.C., Wong,W.Y., Koo,C., Tien,W.P., Lu,T.Y., Yeo,G., Rajarethinam,J., Tan,E., Chong,C.S., Tan,C.H., Yap,G., Tan,L.K. and Ng,L.C.	NA	2013-02-01 (2013-02-01 - 2013-02-25)	2013.08493150685	1.357107	103.8194992
MH647189.1	2013-04-30		Singapore	SEAs	IOL	G	G.0	G.0	G.0	G.0	G.0	G.0	G.0	G.0	Hapuarachchi,H.C., Wong,W.Y., Koo,C., Tien,W.P., Lu,T.Y., Yeo,G., Rajarethinam,J., Tan,E., Chong,C.S., Tan,C.H., Yap,G., Tan,L.K. and Ng,L.C.	NA	2013-04-30 (2013-04-05 - 2013-04-30)	2013.32602739726	1.357107	103.8194992
